Number of epochs,Repair level,Batch size,Learning rate,Clipping Norm,Noise multiplier,Classification error,Privacy budget,Fairness before,Fairness after
30,0.0,32,0.01,0.1,1.0,0.17790971440270242,0.7469186303720139,0.1793872207671221,0.05903495088919712
30,0.0,32,0.01,0.1,2.333333333333333,0.17576005732418876,0.2322663606463094,0.1793872207671221,0.07558250699402819
30,0.0,32,0.01,0.1,3.6666666666666665,0.18753198894462075,0.13759848022257684,0.1793872207671221,0.051617665426727286
30,0.0,32,0.01,0.1,5.0,0.2092332889753301,0.09708006680802381,0.1793872207671221,0.047624002546868674
63,0.0,32,0.01,0.1,1.0,0.17289384788617057,1.121954401612854,0.1793872207671221,0.08111818992014741
63,0.0,32,0.01,0.1,2.333333333333333,0.18169720544579793,0.3479269078496843,0.1793872207671221,0.05645028300106026
63,0.0,32,0.01,0.1,3.6666666666666665,0.1887603644180571,0.20626494064071954,0.1793872207671221,0.07318814992341552
63,0.0,32,0.01,0.1,5.0,0.1967448049953936,0.1456623940874506,0.1793872207671221,0.06553261203357885
95,0.0,32,0.01,0.1,1.0,0.17514586958747058,1.4071629267201915,0.1793872207671221,0.08367116281646861
95,0.0,32,0.01,0.1,2.333333333333333,0.18374449790152525,0.43516547808691963,0.1793872207671221,0.04370659546954135
95,0.0,32,0.01,0.1,3.6666666666666665,0.18405159176988428,0.25800193692585094,0.1793872207671221,0.059714115869377186
95,0.0,32,0.01,0.1,5.0,0.19592588801310262,0.1822606549042463,0.1793872207671221,0.03832070072696572
128,0.0,32,0.01,0.1,1.0,0.17913808987613877,1.659886662207223,0.1793872207671221,0.05315968547298788
128,0.0,32,0.01,0.1,2.333333333333333,0.17903572525335243,0.5119511814124572,0.1793872207671221,0.07353942434381977
128,0.0,32,0.01,0.1,3.6666666666666665,0.19346913706622992,0.30349207643104265,0.1793872207671221,0.06732405992654275
128,0.0,32,0.01,0.1,5.0,0.19224076159279357,0.214430532790064,0.1793872207671221,0.03114828842348641
30,0.0,32,0.01,0.7333333333333333,1.0,0.1800593714812161,0.7469186303720139,0.1793872207671221,0.04611705829155073
30,0.0,32,0.01,0.7333333333333333,2.333333333333333,0.1825161224280889,0.2322663606463094,0.1793872207671221,0.045217437034964045
30,0.0,32,0.01,0.7333333333333333,3.6666666666666665,0.19756372197768446,0.13759848022257684,0.1793872207671221,0.041315619198055674
30,0.0,32,0.01,0.7333333333333333,5.0,0.1963353465042481,0.09708006680802381,0.1793872207671221,0.04796358503695871
63,0.0,32,0.01,0.7333333333333333,1.0,0.17371276486846143,1.121954401612854,0.1793872207671221,0.0823440113369464
63,0.0,32,0.01,0.7333333333333333,2.333333333333333,0.18282321629644793,0.3479269078496843,0.1793872207671221,0.05137161837915099
63,0.0,32,0.01,0.7333333333333333,3.6666666666666665,0.19469751253966627,0.20626494064071954,0.1793872207671221,0.07062517549634356
63,0.0,32,0.01,0.7333333333333333,5.0,0.17883099600777974,0.1456623940874506,0.1793872207671221,0.05413556253210586
95,0.0,32,0.01,0.7333333333333333,1.0,0.1743269526051796,1.4071629267201915,0.1793872207671221,0.07512821211133722
95,0.0,32,0.01,0.7333333333333333,2.333333333333333,0.18159484082301158,0.43516547808691963,0.1793872207671221,0.08361829087456576
95,0.0,32,0.01,0.7333333333333333,3.6666666666666665,0.20605998566895278,0.25800193692585094,0.1793872207671221,0.021695198420039877
95,0.0,32,0.01,0.7333333333333333,5.0,0.17821680827106157,0.1822606549042463,0.1793872207671221,0.05649925763285836
128,0.0,32,0.01,0.7333333333333333,1.0,0.1743269526051796,1.659886662207223,0.1793872207671221,0.09157833546354982
128,0.0,32,0.01,0.7333333333333333,2.333333333333333,0.1771931620431979,0.5119511814124572,0.1793872207671221,0.08851767923165707
128,0.0,32,0.01,0.7333333333333333,3.6666666666666665,0.20155594226635276,0.30349207643104265,0.1793872207671221,0.040651526947316816
128,0.0,32,0.01,0.7333333333333333,5.0,0.19664244037260725,0.214430532790064,0.1793872207671221,0.055040771498360785
