Number of epochs,Repair level,Batch size,Learning rate,Clipping Norm,Noise multiplier,Classification error,Privacy budget,Fairness before,Fairness after
30,0.0,32,0.01,0.1,1.0,0.1636363636363637,1.395005728087353,0.13181498648217965,0.0
30,0.0,32,0.01,0.1,2.333333333333333,0.1636363636363637,0.4314595555050427,0.13181498648217965,0.0
30,0.0,32,0.01,0.1,3.6666666666666665,0.1636363636363637,0.2558052681764029,0.13181498648217965,0.0
30,0.0,32,0.01,0.1,5.0,0.1636363636363637,0.1807069593821481,0.13181498648217965,0.0
63,0.0,32,0.01,0.1,1.0,0.1636363636363637,2.1070501409453377,0.13181498648217965,0.0
63,0.0,32,0.01,0.1,2.333333333333333,0.1636363636363637,0.6466550377397472,0.13181498648217965,0.0
63,0.0,32,0.01,0.1,3.6666666666666665,0.1636363636363637,0.38317709161573044,0.13181498648217965,0.0
63,0.0,32,0.01,0.1,5.0,0.1636363636363637,0.2707548725606357,0.13181498648217965,0.0
95,0.0,32,0.01,0.1,1.0,0.1636363636363637,2.6539345687664406,0.13181498648217965,0.0
95,0.0,32,0.01,0.1,2.333333333333333,0.1636363636363637,0.8094686455454382,0.13181498648217965,0.0
95,0.0,32,0.01,0.1,3.6666666666666665,0.1636363636363637,0.4792809179355021,0.13181498648217965,0.0
95,0.0,32,0.01,0.1,5.0,0.1636363636363637,0.3386302422943235,0.13181498648217965,0.0
128,0.0,32,0.01,0.1,1.0,0.1636363636363637,3.142251176174475,0.13181498648217965,0.0
128,0.0,32,0.01,0.1,2.333333333333333,0.1636363636363637,0.9531464113349591,0.13181498648217965,0.0
128,0.0,32,0.01,0.1,3.6666666666666665,0.1636363636363637,0.5638944978336531,0.13181498648217965,0.0
128,0.0,32,0.01,0.1,5.0,0.1636363636363637,0.39833649422796635,0.13181498648217965,0.0
30,0.0,32,0.01,0.7333333333333333,1.0,0.1636363636363637,1.395005728087353,0.13181498648217965,0.0
30,0.0,32,0.01,0.7333333333333333,2.333333333333333,0.1636363636363637,0.4314595555050427,0.13181498648217965,0.0
30,0.0,32,0.01,0.7333333333333333,3.6666666666666665,0.1636363636363637,0.2558052681764029,0.13181498648217965,0.0
30,0.0,32,0.01,0.7333333333333333,5.0,0.1636363636363637,0.1807069593821481,0.13181498648217965,0.0
63,0.0,32,0.01,0.7333333333333333,1.0,0.1636363636363637,2.1070501409453377,0.13181498648217965,0.0
