Number of epochs,Repair level,Batch size,Learning rate,Clipping Norm,Noise multiplier,Classification error,Privacy budget,Fairness before,Fairness after
107,0.7361417678180906,19,0.031997461859534566,0.6716434558825233,3.4769498584334784,0.24413962534548062,0.22013559544217448,0.1970612349776014,0.0036019056834114133
93,0.7003885802881318,46,0.0752299635741716,1.6032107939433125,3.1216701845046466,0.254068993755758,0.37321745329279477,0.1970612349776014,0.0007633497302251043
81,0.6132705805245702,25,0.011408567924982679,1.3531667710256163,3.624220069984199,0.21445388473743476,0.20959366359624132,0.1970612349776014,0.03194855928074302
78,0.32653259488456543,46,0.08370539428277231,0.8040438406791899,1.503767763702296,0.19930392056505275,0.8289822041624197,0.1970612349776014,0.06490991555500367
110,0.827718992580777,27,0.026861060852574392,0.20138221137881362,3.555298520394129,0.20247722387143008,0.26382777163266496,0.1970612349776014,0.05502646989631807
89,0.12584667034616992,40,0.07672131442818877,0.31053110097503167,1.2470994544884406,0.23605282014535778,1.0765887685584965,0.1970612349776014,0.012139081737735955
37,0.3340970851865148,25,0.03265389001581828,0.12244271795688838,3.0136678183155436,0.20882383048418462,0.16876550126591364,0.1970612349776014,0.06424641164447929
120,0.8452154300835951,23,0.04936122520872208,0.47916913923273063,2.6745922976007144,0.2494625857303716,0.3515987233191627,0.1970612349776014,0.0
73,0.42121012488766707,17,0.053825212298768486,1.2650559491402489,1.4907996930379577,0.23216296447947593,0.46984801281260774,0.1970612349776014,0.08317085087087639
87,0.6815051858308082,50,0.0407105149551483,1.3932186769085304,3.132872795179073,0.24628928242399428,0.3753442226404391,0.1970612349776014,0.0032901324512870454
116,0.7941532576985029,34,0.003846830340335065,1.6452631745172837,2.3152558901043436,0.19019346913706625,0.5062129881426536,0.1970612349776014,0.05575703157852274
127,0.09906404853589634,24,0.09156743379076424,1.4474044705666282,3.641063517637383,0.661275463199918,0.26045584618599693,0.1970612349776014,0.04855790421855988
