Noise Multiplier,Delta,Classification error,Privacy budget,Fairness before (Risk difference),Fairness after (Risk difference)
4.03,1e-05,0.1728395061728395,0.09563242107898842,0.19097982982080125,0.16758752793770082
4.03,1e-05,0.1726552423069836,0.09563242107898842,0.19097982982080125,0.13525363304766302
4.03,1e-05,0.1740679319452122,0.09563242107898842,0.19097982982080125,0.1383908088149115
4.03,1e-05,0.17191818684355997,0.09563242107898842,0.19097982982080125,0.13637878477498494
4.03,1e-05,0.16921565014434004,0.09563242107898842,0.19097982982080125,0.14510538615431495
4.03,1e-05,0.17621767704686442,0.09563242107898842,0.19097982982080125,0.1379615899290767
4.03,1e-05,0.17818315828266074,0.09563242107898842,0.19097982982080125,0.09281620177720976
4.03,1e-05,0.17744610281923712,0.09563242107898842,0.19097982982080125,0.13788265605110472
4.03,1e-05,0.17615625575824578,0.09563242107898842,0.19097982982080125,0.1523271480563106
4.03,1e-05,0.17240955715250905,0.09563242107898842,0.19097982982080125,0.15128673941424844
