Noise Multiplier,Delta,Classification error,Privacy budget,Fairness before (Risk difference),Fairness after (Risk difference)
4.03,1e-05,0.2825993489343407,0.09563242107898842,0.19097982982080125,0.006509981135363718
4.03,1e-05,0.27326331306430807,0.09563242107898842,0.19097982982080125,0.027932706958105402
4.03,1e-05,0.24071003009643144,0.09563242107898842,0.19097982982080125,0.025447385398098876
4.03,1e-05,0.28425772372704383,0.09563242107898842,0.19097982982080125,0.026578448248625874
4.03,1e-05,0.28235366377986615,0.09563242107898842,0.19097982982080125,0.012874273466904285
4.03,1e-05,0.23647196118174563,0.09563242107898842,0.19097982982080125,0.00018477355811908057
4.03,1e-05,0.2726491001781217,0.09563242107898842,0.19097982982080125,0.028089351723041445
4.03,1e-05,0.24181561329156687,0.09563242107898842,0.19097982982080125,0.03401122705745302
4.03,1e-05,0.26822676739758,0.09563242107898842,0.19097982982080125,0.03336395906649098
4.03,1e-05,0.2380074933972115,0.09563242107898842,0.19097982982080125,0.02729817845680954
4.03,1e-05,0.24955469565751487,0.09563242107898842,0.19097982982080125,0.024748089331339818
4.03,1e-05,0.2835206682636202,0.09563242107898842,0.19097982982080125,0.033440141214695074
4.03,1e-05,0.23598059087279655,0.09563242107898842,0.19097982982080125,0.03006519561231591
4.03,1e-05,0.26091763405196244,0.09563242107898842,0.19097982982080125,0.030622624722151714
4.03,1e-05,0.2612247404950556,0.09563242107898842,0.19097982982080125,0.02555144154969269
4.03,1e-05,0.2553897180762852,0.09563242107898842,0.19097982982080125,0.034496754487612635
4.03,1e-05,0.2285486149499416,0.09563242107898842,0.19097982982080125,0.02527056128153149
4.03,1e-05,0.24562373318592223,0.09563242107898842,0.19097982982080125,0.03453313847009942
4.03,1e-05,0.25674098642589527,0.09563242107898842,0.19097982982080125,0.033393005102929973
4.03,1e-05,0.25600393096247154,0.09563242107898842,0.19097982982080125,0.023625689333785838
4.03,1e-05,0.2320496284012039,0.09563242107898842,0.19097982982080125,0.03495435695642379
4.03,1e-05,0.22603034211657758,0.09563242107898842,0.19097982982080125,0.02373698151551007
4.03,1e-05,0.24691358024691357,0.09563242107898842,0.19097982982080125,0.029888982991252533
4.03,1e-05,0.2765186413610957,0.09563242107898842,0.19097982982080125,0.033613907853742464
4.03,1e-05,0.24163134942571096,0.09563242107898842,0.19097982982080125,0.03435539711027613
4.03,1e-05,0.35470794177261844,0.09563242107898842,0.19097982982080125,0.02292129747116034
4.03,1e-05,0.24390393710460045,0.09563242107898842,0.19097982982080125,0.033059230473674595
