Number of epochs,Repair level,Batch size,Learning rate,Clipping Norm,Noise multiplier,Classification error,Privacy budget,Fairness before,Fairness after
100,1,20,0.001,2,7,0.22571399324393493,0.09987353135050331,0.1995947591348292,0.013003813710894822
100,1,20,0.001,2,7,0.22356433616542126,0.09987353135050331,0.1995947591348292,0.013544782234457837
100,1,20,0.001,2,7,0.22755655645408945,0.09987353135050331,0.1995947591348292,0.011004349274038325
100,1,20,0.001,2,7,0.22602108711229396,0.09987353135050331,0.1995947591348292,0.012618405328690638
100,1,20,0.001,2,7,0.2278636503224486,0.09987353135050331,0.1995947591348292,0.0096931858439506
100,1,20,0.001,2,7,0.2240761592793531,0.09987353135050331,0.1995947591348292,0.013583672269797537
100,1,20,0.001,2,7,0.22428088852492578,0.09987353135050331,0.1995947591348292,0.014224233725189907
100,1,20,0.001,2,7,0.22571399324393493,0.09987353135050331,0.1995947591348292,0.011359095279055854
100,1,20,0.001,2,7,0.21916265738560758,0.09987353135050331,0.1995947591348292,0.018706920197169134
100,1,20,0.001,2,7,0.2210052205957621,0.09987353135050331,0.1995947591348292,0.014544825381827917
100,1,20,0.001,2,7,0.22315487767427578,0.09987353135050331,0.1995947591348292,0.014825905145242561
100,1,20,0.001,2,7,0.2249974408844303,0.09987353135050331,0.1995947591348292,0.013414526925441822
100,1,20,0.001,2,7,0.22704473334015762,0.09987353135050331,0.1995947591348292,0.008654874519124472
100,1,20,0.001,2,7,0.2287849319275258,0.09987353135050331,0.1995947591348292,0.01041626305698256
100,1,20,0.001,2,7,0.2238714300337803,0.09987353135050331,0.1995947591348292,0.011939575695842228
100,1,20,0.001,2,7,0.22509980550721675,0.09987353135050331,0.1995947591348292,0.012969037504631645
100,1,20,0.001,2,7,0.22714709796294397,0.09987353135050331,0.1995947591348292,0.009879408362496078
100,1,20,0.001,2,7,0.22202886682362577,0.09987353135050331,0.1995947591348292,0.015106984908657205
100,1,20,0.001,2,7,0.23216296447947593,0.09987353135050331,0.1995947591348292,0.007261195331397154
100,1,20,0.001,2,7,0.2225406899375576,0.09987353135050331,0.1995947591348292,0.014998542460791141
100,1,20,0.001,2,1.07,0.20135121302078007,0.996536632297144,0.1995947591348292,0.033275424013797975
100,1,20,0.001,2,1.07,0.20145357764356642,0.996536632297144,0.1995947591348292,0.03161774223684577
100,1,20,0.001,2,1.07,0.20155594226635276,0.996536632297144,0.1995947591348292,0.031630705581959004
100,1,20,0.001,2,1.07,0.20257958849421642,0.996536632297144,0.1995947591348292,0.03255708248772621
100,1,20,0.001,2,1.07,0.20063466066127544,0.996536632297144,0.1995947591348292,0.03138440202480754
100,1,20,0.001,2,1.07,0.20339850547650729,0.996536632297144,0.1995947591348292,0.030635398121549112
100,1,20,0.001,2,1.07,0.20114648377520727,0.996536632297144,0.1995947591348292,0.032937755182970194
100,1,20,0.001,2,1.07,0.20145357764356642,0.996536632297144,0.1995947591348292,0.03186878148095741
100,1,20,0.001,2,1.07,0.20227249462585728,0.996536632297144,0.1995947591348292,0.030415021254624114
100,1,20,0.001,2,1.07,0.20104411915242093,0.996536632297144,0.1995947591348292,0.03470737137898135
100,1,20,0.001,2,1.07,0.20135121302078007,0.996536632297144,0.1995947591348292,0.03731673489404355
100,1,20,0.001,2,1.07,0.20217013000307094,0.996536632297144,0.1995947591348292,0.03123295571252524
100,1,20,0.001,2,1.07,0.20196540075749825,0.996536632297144,0.1995947591348292,0.03139736536992077
100,1,20,0.001,2,1.07,0.20196540075749825,0.996536632297144,0.1995947591348292,0.03234904710803077
100,1,20,0.001,2,1.07,0.20401269321322546,0.996536632297144,0.1995947591348292,0.027026613317000472
