Number of epochs,Repair level,Batch size,Learning rate,Clipping Norm,Noise multiplier,Classification error,Privacy budget,Fairness before,Fairness after
100,1,20,0.001,2,9,0.2676475450487684,0.09856384191173416,0.19722770636101078,0.0005568983088194979
100,1,20,0.001,2,9,0.32071416763101335,0.09856384191173416,0.19722770636101078,0.009186301359082716
100,1,20,0.001,2,9,0.21937510332286325,0.09856384191173416,0.19722770636101078,0.01138413760810885
100,1,20,0.001,2,9,0.2955860472805423,0.09856384191173416,0.19722770636101078,0.01243239507834204
100,1,20,0.001,2,9,0.21391965614151098,0.09856384191173416,0.19722770636101078,0.022195760637753692
100,1,20,0.001,2,9,0.20614977682261526,0.09856384191173416,0.19722770636101078,0.008150832015172617
100,1,20,0.001,2,9,0.4329641263018681,0.09856384191173416,0.19722770636101078,0.0018077983961722888
100,1,20,0.001,2,9,0.190775334766077,0.09856384191173416,0.19722770636101078,0.00728787941387099
100,1,20,0.001,2,9,0.2380558770044635,0.09856384191173416,0.19722770636101078,0.007023263569185756
100,1,20,0.001,2,9,0.30550504215572827,0.09856384191173416,0.19722770636101078,0.003499396990658765
100,1,20,0.001,2,9,0.19490824929740458,0.09856384191173416,0.19722770636101078,0.013544224291931278
100,1,20,0.001,2,9,0.20383534468507192,0.09856384191173416,0.19722770636101078,0.02046112507967987
100,1,20,0.001,2,9,0.2650024797487188,0.09856384191173416,0.19722770636101078,0.00849193069229015
100,1,20,0.001,2,9,0.5443875020664573,0.09856384191173416,0.19722770636101078,0.002835398123883559
100,1,20,0.001,2,9,0.20052901306000992,0.09856384191173416,0.19722770636101078,0.009812427697901166
100,1,20,0.001,2,9,0.28781616796164655,0.09856384191173416,0.19722770636101078,0.007894823563204811
100,1,20,0.001,2,9,0.27657464043643576,0.09856384191173416,0.19722770636101078,0.00714266040245215
100,1,20,0.001,2,9,0.24566043974210616,0.09856384191173416,0.19722770636101078,0.0020634379598806762
