Number of epochs,Repair level,Batch size,Learning rate,Clipping Norm,Noise multiplier,Classification error,Privacy budget,Fairness before,Fairness after
100,N/A,20,0.001,2,7,0.21291841539563927,0.09987353135050331,0.1902305099256755,0.026447776125700068
100,N/A,20,0.001,2,7,0.21844610502610295,0.09987353135050331,0.1902305099256755,0.020315635958428387
100,N/A,20,0.001,2,7,0.21445388473743476,0.09987353135050331,0.1902305099256755,0.026354045895066753
100,N/A,20,0.001,2,7,0.21619408332480294,0.09987353135050331,0.1902305099256755,0.024100676233952553
100,N/A,20,0.001,2,7,0.21619408332480294,0.09987353135050331,0.1902305099256755,0.031148287869030154
100,N/A,20,0.001,2,7,0.21557989558808477,0.09987353135050331,0.1902305099256755,0.024564296802588946
100,N/A,20,0.001,2,7,0.2138396970007166,0.09987353135050331,0.1902305099256755,0.03264464947503952
100,N/A,20,0.001,2,7,0.21793428191217112,0.09987353135050331,0.1902305099256755,0.024804720776456485
100,N/A,20,0.001,2,7,0.21445388473743476,0.09987353135050331,0.1902305099256755,0.035431830596489695
100,N/A,20,0.001,2,7,0.21281605077285293,0.09987353135050331,0.1902305099256755,0.025866885987496625
100,N/A,20,0.001,2,7,0.2120994984133483,0.09987353135050331,0.1902305099256755,0.02914711185125036
100,N/A,20,0.001,2,7,0.21772955266659844,0.09987353135050331,0.1902305099256755,0.022240309124673546
100,N/A,20,0.001,2,7,0.2162964479475893,0.09987353135050331,0.1902305099256755,0.02376609490435008
100,N/A,20,0.001,2,7,0.21506807247415294,0.09987353135050331,0.1902305099256755,0.025720192244262405
100,N/A,20,0.001,2,7,0.2183437404033166,0.09987353135050331,0.1902305099256755,0.03185233241153408
100,N/A,20,0.001,2,7,0.21824137578053027,0.09987353135050331,0.1902305099256755,0.0216241099780695
100,N/A,20,0.001,2,7,0.21322550926399841,0.09987353135050331,0.1902305099256755,0.029481693180852836
100,N/A,20,0.001,2,7,0.21261132152728013,0.09987353135050331,0.1902305099256755,0.030555628061359842
100,N/A,20,0.001,2,7,0.2156822602108711,0.09987353135050331,0.1902305099256755,0.03066701279619346
100,N/A,20,0.001,2,7,0.2185484696488893,0.09987353135050331,0.1902305099256755,0.024821948155555166
100,N/A,20,0.001,2,1.07,0.19643771112703445,0.996536632297144,0.1902305099256755,0.07336291253759296
100,N/A,20,0.001,2,1.07,0.19694953424096628,0.996536632297144,0.1902305099256755,0.06836312847306099
100,N/A,20,0.001,2,1.07,0.19715426348653908,0.996536632297144,0.1902305099256755,0.07215993841805202
100,N/A,20,0.001,2,1.07,0.1978708158460436,0.996536632297144,0.1902305099256755,0.06707230895762017
100,N/A,20,0.001,2,1.07,0.19602825263588908,0.996536632297144,0.1902305099256755,0.07077496154687626
100,N/A,20,0.001,2,1.07,0.19776845122325726,0.996536632297144,0.1902305099256755,0.06894990344599787
100,N/A,20,0.001,2,1.07,0.1982802743371891,0.996536632297144,0.1902305099256755,0.07120327310711205
100,N/A,20,0.001,2,1.07,0.19715426348653908,0.996536632297144,0.1902305099256755,0.07090400078591018
100,N/A,20,0.001,2,1.07,0.1967448049953936,0.996536632297144,0.1902305099256755,0.06788773823495772
100,N/A,20,0.001,2,1.07,0.19664244037260725,0.996536632297144,0.1902305099256755,0.06923740609773288
100,N/A,20,0.001,2,1.07,0.19797318046882995,0.996536632297144,0.1902305099256755,0.0714735483797484
100,N/A,20,0.001,2,1.07,0.19684716961817994,0.996536632297144,0.1902305099256755,0.07069888582044324
100,N/A,20,0.001,2,1.07,0.19817790971440274,0.996536632297144,0.1902305099256755,0.0720485536832184
100,N/A,20,0.001,2,1.07,0.19756372197768446,0.996536632297144,0.1902305099256755,0.07140293036294719
100,N/A,20,0.001,2,1.07,0.19664244037260725,0.996536632297144,0.1902305099256755,0.06728330875782056
100,N/A,20,0.001,2,1.07,0.1976660866004709,0.996536632297144,0.1902305099256755,0.06884440354589767
100,N/A,20,0.001,2,1.07,0.19705189886375274,0.996536632297144,0.1902305099256755,0.06866240079426286
100,N/A,20,0.001,2,1.07,0.19756372197768446,0.996536632297144,0.1902305099256755,0.07097461880271139
100,N/A,20,0.001,2,1.07,0.19797318046882995,0.996536632297144,0.1902305099256755,0.06697226676715182
100,N/A,20,0.001,2,1.07,0.19746135735489811,0.996536632297144,0.1902305099256755,0.06994187776533842
100,N/A,20,0.001,2,0.48,0.19285494932951175,9.804744494042827,0.1902305099256755,0.0750177375563034
100,N/A,20,0.001,2,0.48,0.19213839697000712,9.804744494042827,0.1902305099256755,0.0795068223743315
100,N/A,20,0.001,2,0.48,0.19336677244344358,9.804744494042827,0.1902305099256755,0.07140881519768061
100,N/A,20,0.001,2,0.48,0.1929573139522981,9.804744494042827,0.1902305099256755,0.07588024551150842
100,N/A,20,0.001,2,0.48,0.19244549083836626,9.804744494042827,0.1902305099256755,0.07908439564882914
100,N/A,20,0.001,2,0.48,0.19326440782065724,9.804744494042827,0.1902305099256755,0.07987671271233457
100,N/A,20,0.001,2,0.48,0.1929573139522981,9.804744494042827,0.1902305099256755,0.07125035178497953
100,N/A,20,0.001,2,0.48,0.19234312621557992,9.804744494042827,0.1902305099256755,0.0756103973639737
100,N/A,20,0.001,2,0.48,0.19234312621557992,9.804744494042827,0.1902305099256755,0.0778814215292882
100,N/A,20,0.001,2,0.48,0.19224076159279357,9.804744494042827,0.1902305099256755,0.07605636342840981
100,N/A,20,0.001,2,0.48,0.19305967857508444,9.804744494042827,0.1902305099256755,0.07323387329855903
100,N/A,20,0.001,2,0.48,0.19203603234722078,9.804744494042827,0.1902305099256755,0.07866785375806021
100,N/A,20,0.001,2,0.48,0.19316204319787078,9.804744494042827,0.1902305099256755,0.07337468220705982
100,N/A,20,0.001,2,0.48,0.19203603234722078,9.804744494042827,0.1902305099256755,0.07951270720906492
100,N/A,20,0.001,2,0.48,0.19213839697000712,9.804744494042827,0.1902305099256755,0.07849173584115882
100,N/A,20,0.001,2,0.48,0.19305967857508444,9.804744494042827,0.1902305099256755,0.07515266163007074
100,N/A,20,0.001,2,0.48,0.19265022008393895,9.804744494042827,0.1902305099256755,0.07638505992327883
100,N/A,20,0.001,2,0.48,0.19305967857508444,9.804744494042827,0.1902305099256755,0.07611521177574415
100,N/A,20,0.001,2,0.48,0.19234312621557992,9.804744494042827,0.1902305099256755,0.07652586883177963
100,N/A,20,0.001,2,0.48,0.1929573139522981,9.804744494042827,0.1902305099256755,0.07475377424350213
